country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Dominica,North America,11643,62.0,11330.0,251.0,,161057,858.0,175744.0,2431063.0,72291
Dominican Republic,North America,577070,4375.0,572179.0,516.0,20.0,52303,397.0,3183162.0,288505.0,11033284
Ecuador,South America,849699,35348.0,,,759.0,46946,1953.0,2470170.0,136477.0,18099482
Egypt,Africa,495373,24277.0,424831.0,46265.0,122.0,4690,230.0,3693367.0,34968.0,105622058
El Salvador,North America,156364,4104.0,132410.0,19850.0,153.0,23902,627.0,1758939.0,268869.0,6541983
Equatorial Guinea,Africa,15899,183.0,15679.0,37.0,5.0,10732,124.0,295501.0,199469.0,1481436
Eritrea,Africa,9722,103.0,9618.0,1.0,,2678,28.0,23693.0,6527.0,3630048
Estonia,Europe,538673,2376.0,442625.0,93672.0,16.0,405610,1789.0,3193333.0,2404519.0,1328055
Ethiopia,Africa,469393,7488.0,421562.0,40343.0,48.0,3918,62.0,4587895.0,38292.0,119812480
Faeroe Islands,Europe,34237,28.0,7693.0,26516.0,5.0,696171,569.0,778000.0,15819760.0,49179
Falkland Islands Malvinas,South America,118,,,,,32311,,8632.0,2363636.0,3652
Fiji,Australia/Oceania,64154,834.0,62248.0,1072.0,,70692,919.0,502686.0,553915.0,907515
Finland,Europe,782912,2783.0,46000.0,734129.0,38.0,140928,501.0,10205163.0,1836984.0,5555390
France,Europe,23860194,140729.0,22452380.0,1267085.0,1695.0,364168,2148.0,246629975.0,3764212.0,65519680
French Guiana,South America,78326,394.0,11254.0,66678.0,3.0,251155,1263.0,605571.0,1941785.0,311863
French Polynesia,Australia/Oceania,71243,645.0,,,7.0,251143,2274.0,,,283675
Gabon,Africa,47570,303.0,47244.0,23.0,,20547,131.0,1584243.0,684289.0,2315166
Gambia,Africa,11973,365.0,11591.0,17.0,,4728,144.0,155686.0,61481.0,2532253
Georgia,Asia,1640550,16630.0,1594924.0,28996.0,,412601,4182.0,16160678.0,4064438.0,3976116
Germany,Europe,18140525,127072.0,14323500.0,3689953.0,2494.0,215342,1508.0,104701826.0,1242891.0,84240536
Ghana,Africa,160775,1445.0,159256.0,74.0,1.0,4996,45.0,2382030.0,74028.0,32177624
Gibraltar,Europe,16105,101.0,15604.0,400.0,10.0,478262,2999.0,524939.0,15588852.0,33674
Greece,Europe,2732866,26792.0,2472529.0,233545.0,348.0,264395,2592.0,70323524.0,6803560.0,10336283
Greenland,North America,11915,20.0,2761.0,9134.0,4.0,209263,351.0,164926.0,2896589.0,56938
Grenada,North America,13921,217.0,13635.0,69.0,4.0,122747,1913.0,140484.0,1238705.0,113412
Guadeloupe,North America,130705,843.0,2250.0,127612.0,19.0,326566,2106.0,938039.0,2343685.0,400241
Guatemala,North America,812125,17191.0,774578.0,20356.0,5.0,43946,930.0,4113749.0,222605.0,18480078
Guinea Bissau,Africa,8096,169.0,7082.0,845.0,6.0,3955,83.0,126743.0,61910.0,2047208
Guinea,Africa,36435,440.0,35950.0,45.0,8.0,2652,32.0,660107.0,48045.0,13739275
Guyana,South America,63175,1226.0,61792.0,157.0,5.0,79664,1546.0,557731.0,703299.0,793021
Haiti,North America,30478,827.0,27039.0,2612.0,,2619,71.0,132422.0,11377.0,11639378
Holy See,Europe,29,,28.0,1.0,,36070,,,,804
Honduras,North America,417201,10842.0,131100.0,275259.0,105.0,41011,1066.0,1263329.0,124185.0,10172976
Hungary,Europe,1824089,44961.0,1672699.0,106429.0,90.0,189643,4674.0,10975485.0,1141076.0,9618544
Iceland,Europe,169258,91.0,75685.0,93482.0,6.0,490579,264.0,1844753.0,5346847.0,345017
India,Asia,43004005,516312.0,42458543.0,29150.0,8944.0,30649,368.0,781224304.0,556775.0,1403124696
Indonesia,Asia,5939082,153212.0,5523393.0,262477.0,2771.0,21329,550.0,89980099.0,323144.0,278452247
Iran,Asia,7135719,139387.0,6805081.0,191251.0,2234.0,83143,1624.0,48534882.0,565512.0,85824734
Iraq,Asia,2315134,25119.0,2270809.0,19206.0,72.0,55440,602.0,18204435.0,435934.0,41759599
Ireland,Europe,1365467,6638.0,1248933.0,109896.0,44.0,271369,1319.0,11577799.0,2300938.0,5031773
Isle Of Man,Europe,25825,81.0,24010.0,1734.0,,300991,944.0,150753.0,1757028.0,85800
Israel,Asia,3745408,10417.0,3692166.0,42825.0,325.0,401609,1117.0,41373364.0,4436346.0,9326000
Italy,Europe,13645834,157442.0,12400175.0,1088217.0,473.0,226260,2611.0,194373101.0,3222884.0,60310299
Jamaica,North America,128456,2857.0,79730.0,45869.0,25.0,43060,958.0,889955.0,298323.0,2983195
Japan,Asia,5966960,26764.0,5401611.0,538585.0,991.0,47426,213.0,41672987.0,331220.0,125816574
Jordan,Asia,1680179,13959.0,1647266.0,18954.0,694.0,161933,1345.0,16499905.0,1590239.0,10375741
Kazakhstan,Asia,1304767,13653.0,1282851.0,8263.0,528.0,68101,713.0,11575012.0,604143.0,19159404
Kenya,Africa,323237,5647.0,317527.0,63.0,1.0,5794,101.0,3457194.0,61970.0,55788422
Kiribati,Australia/Oceania,3041,13.0,2478.0,550.0,9.0,24810,106.0,,,122571
Kuwait,Asia,626609,2552.0,620648.0,3409.0,9.0,143121,583.0,7763313.0,1773186.0,4378173
Kyrgyzstan,Asia,200787,2977.0,196016.0,1794.0,131.0,29934,444.0,1907195.0,284335.0,6707565
Laos,Asia,149131,643.0,7660.0,140828.0,,20003,86.0,1002806.0,134507.0,7455432
Latvia,Europe,761074,5484.0,667949.0,87641.0,36.0,411245,2963.0,6950241.0,3755547.0,1850660
Lebanon,Asia,1086890,10232.0,1013703.0,62955.0,186.0,160466,1511.0,4795578.0,708007.0,6773352
Lesotho,Africa,32775,697.0,23900.0,8178.0,,15095,321.0,415510.0,191374.0,2171190
